Country Name,Country Code,Year,GDP_per_capita,GINI_index,Health_spending_per_capita
Argentina,ARG,2002,2569.69963519124,53.8,222.64750671
Armenia,ARM,2002,742.651118319819,34.8,58.0
Austria,AUT,2002,26334.862215032,,2498.0
Belgium,BEL,2002,25006.191397109,,2084.7199707
Bulgaria,BGR,2002,2092.98288625558,,148.0
Belarus,BLR,2002,1479.38066337175,30.3,84.0
Bolivia,BOL,2002,888.221328974352,59.3,43.48994827
Brazil,BRA,2002,2855.94018885769,58.1,245.66194153
Canada,CAN,2002,24256.0192337185,33.6,2149.37939453
Switzerland,CHE,2002,42458.7384679187,31.7,4211.72949219
Colombia,COL,2002,2428.92969771584,56.0,131.76092529
Costa Rica,CRI,2002,4067.71851429092,51.8,276.23712158
Cyprus,CYP,2002,16093.2158203125,,890.0
Czechia,CZE,2002,8101.26018588111,26.6,497.74203491
Germany,DEU,2002,25486.5942008748,29.8,2567.50292969
Denmark,DNK,2002,33257.1622586509,,2896.0
Dominican Republic,DOM,2002,3065.60329524196,49.7,153.85899353
Ecuador,ECU,2002,2059.1585535974,,97.7811203
Spain,ESP,2002,17111.0685058941,,1174.5793457
Estonia,EST,2002,5343.18310760735,,250.48020935
Finland,FIN,2002,26989.389260959,,2059.0
France,FRA,2002,24144.5727019529,31.8,2449.75830078
United Kingdom,GBR,2002,30077.741432188,35.1,2306.12841797
Georgia,GEO,2002,853.526171868939,37.2,67.0
Greece,GRC,2002,13782.195640943,,1168.82409668
Honduras,HND,2002,1132.49965345317,55.7,69.90351105
Hungary,HUN,2002,6655.33300865319,,473.0
Indonesia,IDN,2002,881.002913569131,30.2,19.14863396
Ireland,IRL,2002,32705.4345565698,32.3,2200.35742188
Israel,ISR,2002,19034.3175740071,39.6,1362.0
Italy,ITA,2002,22463.5222129968,34.7,1763.0
Kazakhstan,KAZ,2002,1573.55219932325,34.8,58.0
Kyrgyz Republic,KGZ,2002,321.726775366804,30.3,15.0
Lithuania,LTU,2002,4148.13091485015,,254.0
Luxembourg,LUX,2002,53005.7339209179,31.0,3601.0
Latvia,LVA,2002,4003.60935783538,,237.0
Moldova,MDA,2002,570.799866188293,35.8,34.0
Netherlands,NLD,2002,29446.5330872868,,2545.0
Norway,NOR,2002,43170.557174499,,3890.0
Panama,PAN,2002,4090.58617397129,56.1,309.41253662
Peru,PER,2002,2007.37019626753,53.6,97.49507904
Poland,POL,2002,5223.45178967082,,316.0
Portugal,PRT,2002,12936.6928204482,,1139.0
Paraguay,PRY,2002,1367.76506935997,57.3,64.76425171
Romania,ROU,2002,2119.85509684554,,97.0
El Salvador,SLV,2002,2115.41187355626,51.9,166.12776184
Slovak Republic,SVK,2002,6554.62808369461,,254.0
Slovenia,SVN,2002,11639.1297780477,,945.0
Sweden,SWE,2002,29957.9387652616,26.2,2459.0
Thailand,THA,2002,2089.75183111554,41.9,69.73505402
Ukraine,UKR,2002,903.011901855469,29.0,53.0
Uruguay,URY,2002,4149.76140312687,45.5,432.80075073
United States,USA,2002,37997.7424300242,40.4,5304.52001953
Argentina,ARG,2003,3320.47775133903,51.0,260.9826355
Armenia,ARM,2003,882.030167695474,33.0,65.0
Austria,AUT,2003,32110.1159661425,29.5,3091.0
Belgium,BEL,2003,30655.2092679024,28.1,2814.88061523
Bulgaria,BGR,2003,2719.49436859287,,196.0
Belarus,BLR,2003,1819.52653114699,28.8,106.0
Bolivia,BOL,2003,893.013760211149,,46.37623215
Brazil,BRA,2003,3090.6070097455,57.6,250.3089447
Canada,CAN,2003,28301.8645937428,33.8,2552.26391602
Switzerland,CHE,2003,49335.7456291067,,5018.52734375
